2025-11-30 20:43:45,798 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-11-30 20:43:45,799 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/ubuntu/.cache/nanochat/base_checkpoints/d20 with step 21400
2025-11-30 20:43:47,012 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 524,288
Total batch size 524,288 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Map: 100%|█| 99842/99842 [00:06<00
Step 00000 | Validation bpb: 0.6896
step 00036 (4.53%) | loss: 1.674304 | lrm: 1.00 | dt: 477.04ms | tok/sec: 1,099,054 | mfu: 48.50 | total time: 0.22m
step 00037 (4.66%) | loss: 1.664773 | lrm: 1.00 | dt: 543.26ms | tok/sec: 965,078 | mfu: 42.59 | total time: 0.23m
step 00038 (4.79%) | loss: 1.657866 | lrm: 1.00 | dt: 590.82ms | tok/sec: 887,388 | mfu: 39.16 | total time: 0.24m
step 00039 (4.93%) | loss: 1.652012 | lrm: 1.00 | dt: 469.64ms | tok/sec: 1,116,359 | mfu: 49.27 | total time: 0.25m
step 00040 (5.05%) | loss: 1.656587 | lrm: 1.00 | dt: 476.53ms | tok/sec: 1,100,217 | mfu: 48.56 | total time: 0.26m
step 00041 (5.15%) | loss: 1.653842 | lrm: 1.00 | dt: 479.91ms | tok/sec: 1,092,474 | mfu: 48.21 | total time: 0.26m
step 00042 (5.28%) | loss: 1.650634 | lrm: 1.00 | dt: 477.61ms | tok/sec: 1,097,726 | mfu: 48.45 | total time: 0.27m
step 00043 (5.40%) | loss: 1.639614 | lrm: 1.00 | dt: 581.50ms | tok/sec: 901,618 | mfu: 39.79 | total time: 0.28m
step 00044 (5.51%) | loss: 1.642008 | lrm: 1.00 | dt: 469.14ms | tok/sec: 1,117,546 | mfu: 49.32 | total time: 0.29m
step 00045 (5.62%) | loss: 1.626587 | lrm: 1.00 | dt: 545.83ms | tok/sec: 960,535 | mfu: 42.39 | total time: 0.30m
step 00046 (5.76%) | loss: 1.618224 | lrm: 1.00 | dt: 573.25ms | tok/sec: 914,593 | mfu: 40.36 | total time: 0.31m
step 00047 (5.88%) | loss: 1.612419 | lrm: 1.00 | dt: 540.46ms | tok/sec: 970,086 | mfu: 42.81 | total time: 0.32m
step 00048 (6.00%) | loss: 1.610155 | lrm: 1.00 | dt: 471.28ms | tok/sec: 1,112,484 | mfu: 49.10 | total time: 0.32m
step 00049 (6.13%) | loss: 1.597930 | lrm: 1.00 | dt: 478.43ms | tok/sec: 1,095,844 | mfu: 48.36 | total time: 0.33m
step 00050 (6.25%) | loss: 1.584748 | lrm: 1.00 | dt: 477.26ms | tok/sec: 1,098,532 | mfu: 48.48 | total time: 0.34m
step 00051 (6.39%) | loss: 1.575700 | lrm: 1.00 | dt: 476.87ms | tok/sec: 1,099,431 | mfu: 48.52 | total time: 0.35m
step 00052 (6.52%) | loss: 1.586057 | lrm: 1.00 | dt: 481.55ms | tok/sec: 1,088,742 | mfu: 48.05 | total time: 0.36m
step 00053 (6.65%) | loss: 1.588945 | lrm: 1.00 | dt: 543.86ms | tok/sec: 964,017 | mfu: 42.54 | total time: 0.37m
step 00054 (6.76%) | loss: 1.587648 | lrm: 1.00 | dt: 469.52ms | tok/sec: 1,116,636 | mfu: 49.28 | total time: 0.37m
step 00055 (6.88%) | loss: 1.588479 | lrm: 1.00 | dt: 624.01ms | tok/sec: 840,194 | mfu: 37.08 | total time: 0.38m
step 00056 (7.00%) | loss: 1.579696 | lrm: 1.00 | dt: 619.21ms | tok/sec: 846,704 | mfu: 37.37 | total time: 0.39m
step 00057 (7.13%) | loss: 1.579957 | lrm: 1.00 | dt: 472.98ms | tok/sec: 1,108,469 | mfu: 48.92 | total time: 0.40m
step 00058 (7.25%) | loss: 1.562562 | lrm: 1.00 | dt: 480.48ms | tok/sec: 1,091,178 | mfu: 48.16 | total time: 0.41m
step 00059 (7.38%) | loss: 1.553715 | lrm: 1.00 | dt: 479.62ms | tok/sec: 1,093,133 | mfu: 48.24 | total time: 0.42m
step 00060 (7.49%) | loss: 1.541260 | lrm: 1.00 | dt: 670.40ms | tok/sec: 782,049 | mfu: 34.51 | total time: 0.43m
step 00061 (7.62%) | loss: 1.543123 | lrm: 1.00 | dt: 473.62ms | tok/sec: 1,106,987 | mfu: 48.85 | total time: 0.44m
step 00062 (7.73%) | loss: 1.550169 | lrm: 1.00 | dt: 480.92ms | tok/sec: 1,090,173 | mfu: 48.11 | total time: 0.44m
step 00063 (7.85%) | loss: 1.549109 | lrm: 1.00 | dt: 575.97ms | tok/sec: 910,276 | mfu: 40.17 | total time: 0.45m
step 00064 (7.98%) | loss: 1.547887 | lrm: 1.00 | dt: 544.06ms | tok/sec: 963,658 | mfu: 42.53 | total time: 0.46m
step 00065 (8.11%) | loss: 1.546331 | lrm: 1.00 | dt: 554.46ms | tok/sec: 945,588 | mfu: 41.73 | total time: 0.47m
step 00066 (8.23%) | loss: 1.541781 | lrm: 1.00 | dt: 539.77ms | tok/sec: 971,312 | mfu: 42.87 | total time: 0.48m
step 00067 (8.35%) | loss: 1.533713 | lrm: 1.00 | dt: 471.69ms | tok/sec: 1,111,515 | mfu: 49.05 | total time: 0.49m
step 00068 (8.46%) | loss: 1.529105 | lrm: 1.00 | dt: 550.15ms | tok/sec: 952,999 | mfu: 42.06 | total time: 0.50m
step 00069 (8.57%) | loss: 1.522138 | lrm: 1.00 | dt: 471.69ms | tok/sec: 1,111,498 | mfu: 49.05 | total time: 0.51m
step 00070 (8.68%) | loss: 1.511021 | lrm: 1.00 | dt: 482.32ms | tok/sec: 1,087,020 | mfu: 47.97 | total time: 0.51m
step 00071 (8.81%) | loss: 1.513045 | lrm: 1.00 | dt: 641.30ms | tok/sec: 817,540 | mfu: 36.08 | total time: 0.53m
step 00072 (8.92%) | loss: 1.514915 | lrm: 1.00 | dt: 604.15ms | tok/sec: 867,811 | mfu: 38.30 | total time: 0.54m
step 00073 (9.04%) | loss: 1.513439 | lrm: 1.00 | dt: 585.90ms | tok/sec: 894,844 | mfu: 39.49 | total time: 0.55m
step 00074 (9.17%) | loss: 1.522435 | lrm: 1.00 | dt: 547.76ms | tok/sec: 957,156 | mfu: 42.24 | total time: 0.55m
step 00075 (9.28%) | loss: 1.521945 | lrm: 1.00 | dt: 545.16ms | tok/sec: 961,713 | mfu: 42.44 | total time: 0.56m
step 00076 (9.39%) | loss: 1.522050 | lrm: 1.00 | dt: 573.52ms | tok/sec: 914,157 | mfu: 40.34 | total time: 0.57m
step 00077 (9.50%) | loss: 1.518015 | lrm: 1.00 | dt: 550.78ms | tok/sec: 951,896 | mfu: 42.01 | total time: 0.58m
step 00078 (9.62%) | loss: 1.517197 | lrm: 1.00 | dt: 543.16ms | tok/sec: 965,259 | mfu: 42.60 | total time: 0.59m
step 00079 (9.73%) | loss: 1.516651 | lrm: 1.00 | dt: 591.06ms | tok/sec: 887,031 | mfu: 39.15 | total time: 0.60m
step 00080 (9.86%) | loss: 1.516740 | lrm: 1.00 | dt: 543.95ms | tok/sec: 963,861 | mfu: 42.54 | total time: 0.61m
step 00081 (9.99%) | loss: 1.513533 | lrm: 1.00 | dt: 555.79ms | tok/sec: 943,315 | mfu: 41.63 | total time: 0.62m
step 00082 (10.12%) | loss: 1.516976 | lrm: 1.00 | dt: 532.43ms | tok/sec: 984,700 | mfu: 43.46 | total time: 0.63m
step 00083 (10.24%) | loss: 1.524314 | lrm: 1.00 | dt: 548.72ms | tok/sec: 955,481 | mfu: 42.17 | total time: 0.64m
step 00084 (10.36%) | loss: 1.524753 | lrm: 1.00 | dt: 473.06ms | tok/sec: 1,108,285 | mfu: 48.91 | total time: 0.65m
step 00085 (10.49%) | loss: 1.523400 | lrm: 1.00 | dt: 607.41ms | tok/sec: 863,156 | mfu: 38.09 | total time: 0.66m
step 00086 (10.63%) | loss: 1.522615 | lrm: 1.00 | dt: 601.38ms | tok/sec: 871,807 | mfu: 38.47 | total time: 0.67m
step 00087 (10.76%) | loss: 1.522071 | lrm: 1.00 | dt: 678.13ms | tok/sec: 773,141 | mfu: 34.12 | total time: 0.68m
step 00088 (10.89%) | loss: 1.527279 | lrm: 1.00 | dt: 474.27ms | tok/sec: 1,105,465 | mfu: 48.79 | total time: 0.68m
step 00089 (11.01%) | loss: 1.528061 | lrm: 1.00 | dt: 548.50ms | tok/sec: 955,865 | mfu: 42.18 | total time: 0.69m
step 00090 (11.14%) | loss: 1.525413 | lrm: 1.00 | dt: 469.23ms | tok/sec: 1,117,345 | mfu: 49.31 | total time: 0.70m
step 00091 (11.28%) | loss: 1.509687 | lrm: 1.00 | dt: 480.69ms | tok/sec: 1,090,700 | mfu: 48.14 | total time: 0.71m
step 00092 (11.41%) | loss: 1.506484 | lrm: 1.00 | dt: 733.36ms | tok/sec: 714,913 | mfu: 31.55 | total time: 0.72m
step 00093 (11.52%) | loss: 1.499927 | lrm: 1.00 | dt: 594.35ms | tok/sec: 882,119 | mfu: 38.93 | total time: 0.73m
step 00094 (11.63%) | loss: 1.490784 | lrm: 1.00 | dt: 474.01ms | tok/sec: 1,106,069 | mfu: 48.81 | total time: 0.74m
step 00095 (11.77%) | loss: 1.496193 | lrm: 1.00 | dt: 479.93ms | tok/sec: 1,092,415 | mfu: 48.21 | total time: 0.75m
step 00096 (11.90%) | loss: 1.501300 | lrm: 1.00 | dt: 539.00ms | tok/sec: 972,711 | mfu: 42.93 | total time: 0.76m
step 00097 (12.02%) | loss: 1.491584 | lrm: 1.00 | dt: 547.68ms | tok/sec: 957,284 | mfu: 42.25 | total time: 0.77m
step 00098 (12.14%) | loss: 1.497507 | lrm: 1.00 | dt: 548.40ms | tok/sec: 956,033 | mfu: 42.19 | total time: 0.77m
step 00099 (12.25%) | loss: 1.509021 | lrm: 1.00 | dt: 473.17ms | tok/sec: 1,108,034 | mfu: 48.90 | total time: 0.78m
step 00100 (12.38%) | loss: 1.498262 | lrm: 1.00 | dt: 710.27ms | tok/sec: 738,151 | mfu: 32.58 | total time: 0.79m
step 00101 (12.50%) | loss: 1.498752 | lrm: 1.00 | dt: 599.08ms | tok/sec: 875,151 | mfu: 38.62 | total time: 0.80m
step 00102 (12.62%) | loss: 1.504119 | lrm: 1.00 | dt: 471.42ms | tok/sec: 1,112,143 | mfu: 49.08 | total time: 0.81m
step 00103 (12.75%) | loss: 1.496140 | lrm: 1.00 | dt: 541.94ms | tok/sec: 967,433 | mfu: 42.70 | total time: 0.82m
step 00104 (12.87%) | loss: 1.503123 | lrm: 1.00 | dt: 473.55ms | tok/sec: 1,107,142 | mfu: 48.86 | total time: 0.83m
step 00105 (12.99%) | loss: 1.500019 | lrm: 1.00 | dt: 480.22ms | tok/sec: 1,091,759 | mfu: 48.18 | total time: 0.84m
step 00106 (13.12%) | loss: 1.496880 | lrm: 1.00 | dt: 482.87ms | tok/sec: 1,085,767 | mfu: 47.92 | total time: 0.85m
step 00107 (13.24%) | loss: 1.498508 | lrm: 1.00 | dt: 547.98ms | tok/sec: 956,769 | mfu: 42.22 | total time: 0.85m
